Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS27, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), Temperature (deg. C), Relative Humidity (%), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg)
2022-06-06 17:25:00,-0.56,0.27,0.07,0.91,0.98,19.33,30,6.54,164.1
2022-06-06 17:30:00,-0.6,0.23,0.1,0.53,0.63,19.15,31,6.59,171.8
2022-06-06 17:35:00,-0.47,0.2,0.24,0.35,0.6,19.34,30,6.49,158.5
2022-06-06 17:40:00,-0.61,0.24,0.22,0.23,0.45,19.57,30,7.01,117.2
2022-06-06 17:45:00,-0.71,0.32,0.14,0.15,0.3,19.62,30,7.04,151.4
2022-06-06 17:50:00,-0.67,0.24,0.13,0.25,0.38,19.56,30,8.11,159.8
2022-06-06 17:55:00,-0.69,0.27,0.32,0.2,0.52,19.44,31,6.28,131.7
2022-06-06 18:00:00,-0.65,0.15,0.24,0.21,0.45,19.28,31,7.52,95.4
2022-06-06 18:05:00,-0.63,0.23,0.1,0.2,0.3,18.55,33,6.68,108
2022-06-06 18:10:00,-0.67,0.22,-0.16,0.12,-0.04,18.02,33,8.07,118.4
2022-06-06 18:15:00,-0.41,0.37,-0.41,0.55,0.14,17.68,35,8.22,94.6
2022-06-06 18:20:00,-0.18,0.61,-0.29,0.74,0.46,17.42,36,7.5,94.9
2022-06-06 18:25:00,-0.34,0.84,0.03,0.8,0.84,17.26,37,8.28,102.7
2022-06-06 18:30:00,-0.71,0.45,-0.03,0.47,0.45,17.2,36,7.64,116.9
2022-06-06 18:35:00,-0.63,0.23,-0.13,0.39,0.26,17.25,36,6.11,134.7
2022-06-06 18:40:00,-0.74,0.19,-0.26,0.21,-0.05,17.25,37,6.45,115
2022-06-06 18:45:00,-0.69,0.19,-0.13,0.43,0.3,17.08,37,6.22,123.5
2022-06-06 18:50:00,-0.79,0.18,0.14,0.27,0.41,17,37,5.54,137.3
2022-06-06 18:55:00,-0.7,0.23,0.03,0.42,0.45,16.89,38,5.59,135.4
2022-06-06 19:00:00,-0.49,0.24,0.15,0.31,0.46,16.8,39,4.19,130.2
2022-06-06 19:05:00,-0.59,0.22,0.22,0.21,0.43,16.78,39,6.5,129.3
2022-06-06 19:10:00,-0.73,0.22,0.18,0.23,0.42,16.7,38,6.4,122.3
2022-06-06 19:15:00,-0.55,0.24,0,0.38,0.38,16.71,39,4.26,113
2022-06-06 19:20:00,-0.55,0.27,0.03,0.14,0.17,16.68,39,4.37,119
2022-06-06 19:25:00,-0.6,0.12,-0.06,0.24,0.18,16.57,40,3.96,124.8
2022-06-06 19:30:00,-0.51,0.29,0.12,0.22,0.34,16.53,41,4.45,132.9
2022-06-06 19:35:00,-0.65,0.23,0.41,0.29,0.7,16.83,40,3.34,111.1
2022-06-06 19:40:00,-0.43,0.28,0.7,-0.1,0.6,17.05,39,4.53,128.1
2022-06-06 19:45:00,-0.75,0.33,0.26,0.1,0.36,16.84,40,3.99,120.7
2022-06-06 19:50:00,-0.71,0.27,-0.02,0.27,0.25,16.65,40,4.21,115.6
2022-06-06 19:55:00,-0.75,0.17,0.07,0.33,0.4,16.4,41,4.17,138.7
2022-06-06 20:00:00,-0.72,0.29,0.2,0.15,0.35,16.19,41,7.75,109.6
2022-06-06 20:05:00,-0.54,0.18,0.19,0.16,0.35,15.99,42,4.41,104.4
2022-06-06 20:10:00,-0.75,0.15,0,0.2,0.2,15.71,43,4.7,127.3
2022-06-06 20:15:00,-0.61,0.18,0.02,0.17,0.19,15.44,44,5.07,100.2
2022-06-06 20:20:00,-0.61,0.25,0.03,0.27,0.3,15.18,44,4.86,130.4
2022-06-06 20:25:00,-0.74,0.17,0.13,0.36,0.49,15.13,44,5.03,130.8
2022-06-06 20:30:00,-0.66,0.16,0.39,0.11,0.49,14.91,44,5.65,126.2
2022-06-06 20:35:00,-0.63,0.22,0.42,0.03,0.45,14.74,46,2.79,122.1
2022-06-06 20:40:00,-0.59,0.15,0.5,0.07,0.57,14.23,48,3.92,127.1
2022-06-06 20:45:00,-0.78,0.26,0.33,0.18,0.51,14.06,48,1.93,162.4
2022-06-06 20:50:00,-0.69,0.17,0.42,0.21,0.64,13.68,50,2.65,135.6
2022-06-06 20:55:00,-0.53,0.29,0.22,0.08,0.3,13.16,52,2.96,117
2022-06-06 21:00:00,-0.56,0.27,0.06,0.26,0.32,12.93,53,3.05,130
2022-06-06 21:05:00,-0.63,0.24,0,0.56,0.56,12.64,56,1.51,196.7
2022-06-06 21:10:00,-0.54,0.21,0.24,0.13,0.37,12.5,55,3.05,169
2022-06-06 21:15:00,-0.71,0.18,0.24,0.07,0.31,12.44,55,1.88,162.2
2022-06-06 21:20:00,-0.64,0.14,0.22,0.26,0.48,12.23,56,1.98,181.1
2022-06-06 21:25:00,-0.65,0.24,0.21,0.21,0.42,12.06,56,2.64,176.8
2022-06-06 21:30:00,-0.79,0.2,0.34,0,0.34,12.17,56,3.38,210.2
2022-06-06 21:35:00,-0.62,0.26,0.49,-0.16,0.32,12.04,56,6.13,234.1
2022-06-06 21:40:00,-0.55,0.24,0.12,0.09,0.21,12.39,55,4.92,210.4
2022-06-06 21:45:00,-0.6,0.27,-0.03,0.15,0.12,12,56,4.83,211
2022-06-06 21:50:00,-0.76,0.29,0.19,0.1,0.28,12.12,56,3.04,213.2
2022-06-06 21:55:00,-0.77,0.31,0.29,0.15,0.43,11.39,59,2.46,189.2
2022-06-06 22:00:00,-0.56,0.29,0.22,0.19,0.4,11.09,61,2.67,184.3
2022-06-06 22:05:00,-0.7,0.22,0.17,0.14,0.32,10.91,61,2.03,158.1
2022-06-06 22:10:00,-0.63,0.26,0.03,0.16,0.19,10.71,62,1.1,165.7
2022-06-06 22:15:00,-0.4,0.25,0.09,0.21,0.3,10.76,61,1.71,232.5
2022-06-06 22:20:00,-0.53,0.25,0.09,0.17,0.26,10.81,62,1.87,215.7
2022-06-06 22:25:00,-0.56,0.18,0.15,0.28,0.43,10.73,62,2.33,176.2
2022-06-06 22:30:00,-0.54,0.19,0.18,0.18,0.36,10.75,62,3.01,177
2022-06-06 22:35:00,-0.51,0.22,0.05,0.32,0.37,10.7,61,2.47,158.1
2022-06-06 22:40:00,-0.6,0.22,0.05,0.16,0.21,10.61,62,2.01,179
2022-06-06 22:45:00,-0.37,0.26,-0.11,0.36,0.24,10.72,62,2.28,191.7
2022-06-06 22:50:00,-0.5,0.28,0.02,0.53,0.55,10.83,61,2.34,195.5
2022-06-06 22:55:00,-0.56,0.34,0.3,0.47,0.76,10.85,61,3.37,218.9
2022-06-06 23:00:00,-0.47,0.37,0.35,0.48,0.83,10.68,63,3.97,212.3
2022-06-06 23:05:00,-0.33,0.36,0.49,0.33,0.82,10.67,64,3.59,207.2
2022-06-06 23:10:00,-0.56,0.27,0.48,0.33,0.81,10.5,64,3.22,200
2022-06-06 23:15:00,-0.55,0.25,0.3,0.29,0.59,10.52,64,2.98,186.8
2022-06-06 23:20:00,-0.47,0.24,0.02,0.34,0.36,10.6,63,2.9,185.9
2022-06-06 23:25:00,-0.55,0.25,-0.27,0.44,0.17,10.54,63,2.82,182.3
2022-06-06 23:30:00,-0.66,0.25,0.02,0.57,0.59,10.53,64,2.24,169.5
2022-06-06 23:35:00,-0.53,0.31,0.32,0.33,0.65,10.4,64,2.92,195.2
2022-06-06 23:40:00,-0.46,0.27,0.27,0.18,0.45,10.45,63,3.33,216.1
2022-06-06 23:45:00,-0.71,0.31,0.21,0.24,0.46,10.29,64,3.39,217.3
2022-06-06 23:50:00,-0.61,0.22,0.22,0.07,0.29,10.04,65,2.93,196.1
2022-06-06 23:55:00,-0.44,0.16,0,0.26,0.26,10,65,3.46,189.9
2022-06-07 00:00:00,-0.61,0.27,0.1,0.19,0.29,10,65,3.4,199.8
2022-06-07 00:05:00,-0.49,0.2,0.14,0.14,0.28,10.02,64,2.99,180
2022-06-07 00:10:00,-0.48,0.23,0.03,0.32,0.36,10.05,65,3.03,186.7
2022-06-07 00:15:00,-0.67,0.24,0.11,0.31,0.41,10.17,64,3.1,202.4
2022-06-07 00:20:00,-0.55,0.26,0.06,0.31,0.37,10.24,64,3.41,199.2
2022-06-07 00:25:00,-0.39,0.17,0.13,0.3,0.43,10.2,65,3.54,209.2
2022-06-07 00:30:00,-0.62,0.15,0.17,0.04,0.21,10.11,65,3.31,192.5
2022-06-07 00:35:00,-0.62,0.19,0.06,0.11,0.17,10.01,65,2.81,176.8
2022-06-07 00:40:00,-0.61,0.25,0.1,0.14,0.24,10.09,65,3.26,182.3
2022-06-07 00:45:00,-0.6,0.25,0.15,0.25,0.39,9.93,65,3.11,170.2
2022-06-07 00:50:00,-0.56,0.26,0.25,0.23,0.47,9.81,65,2.98,171.8
2022-06-07 00:55:00,-0.58,0.24,0.36,0.48,0.83,9.93,65,2.96,184.1
2022-06-07 01:00:00,-0.54,0.21,0.38,0.18,0.55,10.03,65,2.49,187.5
2022-06-07 01:05:00,-0.64,0.23,Z/S,Z/S,Z/S,9.92,65,2.58,195
2022-06-07 01:10:00,-0.63,0.26,Z/S,Z/S,Z/S,9.89,65,2.33,198.3
2022-06-07 01:15:00,-0.57,0.26,Z/S,Z/S,Z/S,9.86,65,2.58,192.4
2022-06-07 01:20:00,-0.59,0.26,37.84,303.3,341.1,9.72,67,2.48,182.4
2022-06-07 01:25:00,-0.53,0.25,Z/S,Z/S,Z/S,9.74,66,3.35,207.3
2022-06-07 01:30:00,-0.45,0.21,Z/S,Z/S,Z/S,9.77,67,3.7,215
2022-06-07 01:35:00,-0.57,0.19,Z/S,Z/S,Z/S,9.52,68,3.78,212.4
2022-06-07 01:40:00,-0.45,0.23,Z/S,Z/S,Z/S,9.28,69,2.85,206.8
2022-06-07 01:45:00,-0.57,0.31,Z/S,Z/S,Z/S,9.13,70,2.41,207.4
2022-06-07 01:50:00,-0.52,0.25,Z/S,Z/S,Z/S,9.08,69,2.6,219.1
2022-06-07 01:55:00,-0.48,0.24,Z/S,Z/S,Z/S,9.2,67,3.18,239
2022-06-07 02:00:00,-0.55,0.26,Z/S,Z/S,Z/S,9.06,67,3.35,234.8
2022-06-07 02:05:00,-0.55,0.25,-0.12,0.8,0.67,8.87,69,3,210.9
2022-06-07 02:10:00,-0.62,0.25,0.01,0.58,0.59,8.76,70,2.63,200.2
2022-06-07 02:15:00,-0.62,0.19,0.02,0.54,0.56,8.58,71,2.48,217.8
2022-06-07 02:20:00,-0.43,0.24,0.11,0.47,0.57,8.52,72,2.6,221.5
2022-06-07 02:25:00,-0.58,0.14,0,0.34,0.34,8.49,71,2.15,201.3
2022-06-07 02:30:00,-0.57,0.16,-0.16,0.28,0.12,8.26,71,2.26,188.5
2022-06-07 02:35:00,-0.63,0.15,-0.13,0.37,0.24,8.19,71,2.62,177.8
2022-06-07 02:40:00,-0.69,0.15,0.06,0.29,0.35,8.02,72,2.61,170
2022-06-07 02:45:00,-0.58,0.18,0.27,0.34,0.61,8.01,72,1.61,175.7
2022-06-07 02:50:00,-0.63,0.29,0.36,0.52,0.88,8.21,71,0.51,190.2
2022-06-07 02:55:00,-0.46,0.34,0.38,0.38,0.76,8.57,70,1.89,352
2022-06-07 03:00:00,-0.57,0.39,0.33,0.43,0.76,8.66,71,1.84,320.4
2022-06-07 03:05:00,Z/S,0.34,0.34,0.44,0.78,8.44,71,1.64,162
2022-06-07 03:10:00,Z/S,0.33,0.29,0.25,0.54,8.43,72,1.64,172.2
2022-06-07 03:15:00,Z/S,0.36,0.13,0.53,0.66,8.77,71,1.32,188.9
2022-06-07 03:20:00,Z/S,0.34,-0.07,0.59,0.53,9.03,69,2.01,195.7
2022-06-07 03:25:00,Z/S,0.34,0.28,0.39,0.67,8.88,70,2.05,173.5
2022-06-07 03:30:00,Z/S,0.33,0.44,0.25,0.7,8.74,74,1.57,173.1
2022-06-07 03:35:00,Z/S,0.22,0.27,0.47,0.75,8.66,75,0.66,169.6
2022-06-07 03:40:00,Z/S,0.19,0.23,0.45,0.68,8.77,72,1.89,177.1
2022-06-07 03:45:00,Z/S,0.19,0.21,0.17,0.38,8.99,72,2.53,186.4
2022-06-07 03:50:00,Z/S,0.34,0.04,0.61,0.65,9.01,73,2.97,184.5
2022-06-07 03:55:00,Z/S,0.3,0.08,0.58,0.65,8.94,73,2.89,187.1
2022-06-07 04:00:00,Z/S,0.24,0.14,0.26,0.4,8.82,72,2.22,180
2022-06-07 04:05:00,-0.47,Z/S,0.13,0.2,0.33,8.8,72,1.07,170.3
2022-06-07 04:10:00,-0.49,Z/S,0.14,0.3,0.44,8.8,72,1.39,192
2022-06-07 04:15:00,-0.55,Z/S,0.1,0.24,0.34,8.75,74,2.36,194.8
2022-06-07 04:20:00,-0.54,Z/S,0.05,0.29,0.34,8.64,71,2.15,178.5
2022-06-07 04:25:00,-0.55,Z/S,0.03,0.45,0.48,8.56,70,2.1,158.7
2022-06-07 04:30:00,-0.68,Z/S,0.08,0.39,0.47,8.47,71,2.16,73.9
2022-06-07 04:35:00,-0.72,Z/S,0.15,0.2,0.34,8.52,72,2.47,77.87
2022-06-07 04:40:00,-0.63,Z/S,0.13,0.18,0.31,8.54,72,1.57,84.3
2022-06-07 04:45:00,-0.5,Z/S,-0.1,0.55,0.45,8.85,69,1.78,102
2022-06-07 04:50:00,-0.61,Z/S,-0.13,0.27,0.13,9.05,68,2.28,96.5
2022-06-07 04:55:00,-0.54,Z/S,-0.13,0.23,0.1,9.04,69,2.87,106.8
2022-06-07 05:00:00,-0.65,Z/S,-0.11,0.08,-0.03,9.12,69,2.73,137.7
2022-06-07 05:05:00,-0.49,0.37,-0.11,0.13,0.02,9.09,70,2.43,164.8
2022-06-07 05:10:00,-0.54,0.32,0.34,1.25,1.59,9.1,70,2.77,160.5
2022-06-07 05:15:00,-0.54,0.31,1.09,5.93,7.02,9.24,71,2.73,156.8
2022-06-07 05:20:00,-0.58,0.44,1.27,6.53,7.79,9.51,72,2.66,161.7
2022-06-07 05:25:00,-0.52,0.52,0.88,4.02,4.9,9.68,71,3.92,136.7
2022-06-07 05:30:00,-0.6,0.6,0.66,2.13,2.79,9.62,71,2.99,150.6
2022-06-07 05:35:00,-0.6,0.61,0.74,2.7,3.43,9.62,71,3.12,140.6
2022-06-07 05:40:00,-0.57,0.68,0.35,1.88,2.23,9.7,70,2.83,136.3
2022-06-07 05:45:00,-0.54,0.67,0.08,1.21,1.29,9.79,70,2.84,113.2
2022-06-07 05:50:00,-0.61,0.52,0.02,0.75,0.76,9.97,68,3.37,114.6
2022-06-07 05:55:00,-0.32,0.34,0.21,0.35,0.56,9.9,70,1.63,33.32
2022-06-07 06:00:00,-0.5,0.45,0.12,0.67,0.79,9.75,71,3.03,230.2
2022-06-07 06:05:00,-0.59,0.5,0.55,1.39,1.93,9.91,69,4.25,215.9
2022-06-07 06:10:00,-0.5,0.56,0.84,2.16,3,9.81,70,2.48,151.2
2022-06-07 06:15:00,-0.54,0.53,1.18,3.17,4.35,9.56,71,3.27,163
2022-06-07 06:20:00,-0.51,0.51,2.28,3.93,6.21,9.55,72,4.4,196.6
2022-06-07 06:25:00,-0.6,0.44,4.81,6.38,11.18,9.01,76,2.31,140.4
2022-06-07 06:30:00,-0.49,0.47,2.17,4.3,6.47,8.95,76,3.14,212.6
2022-06-07 06:35:00,-0.41,0.42,1.59,2.68,4.27,9.05,74,4.11,187.8
2022-06-07 06:40:00,-0.48,0.35,0.32,0.74,1.06,9.11,73,2.67,176.7
2022-06-07 06:45:00,-0.67,0.39,0.41,0.65,1.05,9.05,76,1.35,182.3
2022-06-07 06:50:00,-0.49,0.35,0.37,0.94,1.31,8.87,76,0.68,282.7
2022-06-07 06:55:00,-0.48,0.32,0.54,0.95,1.49,8.66,76,1.53,262.4
2022-06-07 07:00:00,-0.58,0.34,0.51,1.06,1.57,8.8,75,3.05,251.2
2022-06-07 07:05:00,-0.57,0.32,0.33,0.98,1.3,8.89,75,1.52,251.9
2022-06-07 07:10:00,-0.35,0.33,0.23,0.61,0.84,9.05,75,2.1,175.7
2022-06-07 07:15:00,-0.62,0.32,0.35,0.77,1.12,9.84,73,3.16,156.7
2022-06-07 07:20:00,-0.57,0.31,0.23,0.56,0.79,10.82,67,3.06,137.5
2022-06-07 07:25:00,-0.46,0.24,0.1,0.4,0.5,11.33,63,2.63,153.5
2022-06-07 07:30:00,-0.65,0.36,2.58,3.08,5.66,11.81,59,3.23,160.2
2022-06-07 07:35:00,-0.4,0.2,1.76,1.86,3.63,11.56,56,3.44,160
2022-06-07 07:40:00,-0.57,0.18,0.41,0.29,0.7,11.83,55,3.44,165.7
2022-06-07 07:45:00,-0.69,0.19,0.04,0.37,0.41,13.39,49,2.64,159.9
2022-06-07 07:50:00,-0.65,0.13,0.04,0.21,0.25,14.87,44,2.81,167.9
2022-06-07 07:55:00,-0.44,0.17,0.25,-0.05,0.2,15.88,41,3.36,167
2022-06-07 08:00:00,-0.63,0.14,0.43,0.09,0.52,15.97,38,4.98,167
2022-06-07 08:05:00,-0.68,0.21,0.42,0.66,1.08,16,39,3.16,176.9
2022-06-07 08:10:00,-0.52,0.26,0.06,0.29,0.35,16.53,38,3.19,193.2
2022-06-07 08:15:00,-0.52,0.09,-0.08,-0.05,-0.13,16.81,37,3.05,156
2022-06-07 08:20:00,-0.52,0.06,-0.36,0.18,-0.18,16.55,38,5.15,215.7
2022-06-07 08:25:00,-0.67,0.2,-0.37,0.1,-0.26,16.35,37,4.36,213.4
2022-06-07 08:30:00,-0.61,0.11,-0.37,0.26,-0.11,16.74,36,4.78,105.5
2022-06-07 08:35:00,-0.63,0.14,0.02,0.26,0.28,16.9,36,6.51,93.2
2022-06-07 08:40:00,-0.66,0.14,0.38,-0.17,0.21,17.16,36,3.89,127.9
2022-06-07 08:45:00,-0.63,0.14,0.18,-0.02,0.16,17.38,35,5.54,120.9
2022-06-07 08:50:00,-0.61,0.21,0.04,0.07,0.12,17.24,35,4.27,89.8
2022-06-07 08:55:00,-0.62,0.19,0.15,0,0.14,17.67,35,6.55,100.5
2022-06-07 09:00:00,-0.55,0.16,-0.01,0.32,0.31,17.33,34,5.42,175.2
2022-06-07 09:05:00,-0.59,0.16,0.11,0.2,0.31,17.37,34,4.71,54.73
2022-06-07 09:10:00,-0.51,0.18,0.1,0.14,0.24,17.81,34,6.9,138.8
2022-06-07 09:15:00,-0.64,0.27,0.18,-0.01,0.17,17.4,34,3.86,66.9
2022-06-07 09:20:00,-0.63,0.1,0.12,0.05,0.17,17.8,33,4.82,217.2
2022-06-07 09:25:00,-0.55,0.13,0.07,0.01,0.08,18.04,32,6.72,99.1
2022-06-07 09:30:00,-0.49,0.2,-0.11,-0.05,-0.15,18.24,31,8.26,147.9
2022-06-07 09:35:00,-0.37,0.22,-0.09,0.2,0.11,18.45,30,7.9,76.79
2022-06-07 09:40:00,-0.36,0.24,0.02,0.38,0.39,18.82,29,7.64,102.4
2022-06-07 09:45:00,-0.51,0.17,-0.19,0.11,-0.08,18.45,28,6.61,172.8
2022-06-07 09:50:00,0.16,0.11,-0.27,0.15,-0.13,18.38,28,10.46,109.4
2022-06-07 09:55:00,0.03,0.08,-0.06,0.76,0.7,17.96,30,6.01,99.3
2022-06-07 10:00:00,-0.75,0.21,0.17,0.22,0.39,17.66,29,6.57,131.4
2022-06-07 10:05:00,-0.39,0.11,0.23,0.02,0.25,17.26,29,8.42,97.2
2022-06-07 10:10:00,-0.54,0.13,0.3,0.05,0.35,17.29,29,4.18,87.7
2022-06-07 10:15:00,-0.36,0.1,0.36,0.07,0.42,17.49,30,3.97,117
2022-06-07 10:20:00,-0.64,0.12,0.52,-0.04,0.49,17.57,29,4.74,186.6
2022-06-07 10:25:00,-0.69,0.07,0.43,-0.16,0.28,17.4,28,6.33,96.8
2022-06-07 10:30:00,-0.6,0.15,0.3,0.2,0.5,17.19,28,4.96,32.58
2022-06-07 10:35:00,-0.57,0.17,0.28,0.27,0.54,17.25,30,7.62,54.82
2022-06-07 10:40:00,-0.4,0.13,0.1,0.38,0.49,17.44,30,5.28,82.5
2022-06-07 10:45:00,-0.52,0.12,0.21,0.47,0.68,17.54,30,3.53,95.9
2022-06-07 10:50:00,-0.56,0.14,0.35,0.14,0.48,17.75,29,4.3,107.1
2022-06-07 10:55:00,-0.58,0.19,0.25,0.07,0.32,17.65,28,5.19,22.59
2022-06-07 11:00:00,-0.7,0.22,0.42,0.02,0.44,17.88,28,2.36,85.6
2022-06-07 11:05:00,-0.45,0.25,0.32,0.09,0.41,18.04,29,4.86,86.1
2022-06-07 11:10:00,-0.38,0.11,0.09,0.24,0.33,17.75,28,4.94,98.2
2022-06-07 11:15:00,-0.43,0.19,0.03,0.29,0.32,17.67,27,2.89,231.6
2022-06-07 11:20:00,-0.45,0.26,0.05,0.43,0.49,17.77,28,3.34,297.3
2022-06-07 11:25:00,-0.7,0.31,0.11,0.04,0.15,17.81,28,2.56,33.71
2022-06-07 11:30:00,-0.45,0.26,-0.04,0.19,0.15,17.86,28,3.97,349.9
2022-06-07 11:35:00,-0.29,0.19,0.1,0.5,0.61,17.74,29,3.14,263.9
2022-06-07 11:40:00,-0.15,0.17,0.74,0.65,1.39,17.51,31,3.76,140.7
2022-06-07 11:45:00,-0.64,0.19,0.68,0.9,1.58,17.57,30,6.07,52.82
2022-06-07 11:50:00,-0.28,0.12,0.46,0.39,0.84,17.69,31,5.27,20.25
2022-06-07 11:55:00,-0.02,0.26,0.43,0.34,0.77,17.8,31,3.22,311.4
2022-06-07 12:00:00,0.07,0.26,0.24,0.51,0.74,17.91,30,4.33,262.1
2022-06-07 12:05:00,0.5,0.19,0.2,0.88,1.08,17.45,31,3.99,283.8
2022-06-07 12:10:00,0.64,0.25,0.51,1.19,1.7,17.59,32,2.7,273.2
2022-06-07 12:15:00,0.72,0.28,0.48,1.29,1.77,17.7,33,2.02,170.3
2022-06-07 12:20:00,0.67,0.2,0.53,1.11,1.65,17.6,32,2.17,117.5
2022-06-07 12:25:00,0.61,0.18,0.18,1.12,1.3,17.63,29,2.85,192.4
2022-06-07 12:30:00,0.67,0.2,0.21,1.01,1.22,17.5,30,3.46,209.9
2022-06-07 12:35:00,0.5,0.18,0.33,1.43,1.76,17.53,31,4.85,203.7
2022-06-07 12:40:00,0.28,0.2,0.44,1.53,1.97,17.63,30,4.48,173.7
2022-06-07 12:45:00,0.13,0.22,0.26,0.9,1.16,17.81,29,2.69,170
2022-06-07 12:50:00,0.01,0.27,0.2,0.77,0.97,18.1,28,2.52,36.61
2022-06-07 12:55:00,-0.16,0.21,0.29,0.58,0.87,18.69,28,6.15,11.03
2022-06-07 13:00:00,-0.37,0.27,0.4,0.25,0.64,19.22,27,6.1,44.79
2022-06-07 13:05:00,-0.48,0.29,0.35,0.02,0.37,19.81,27,4.78,331
2022-06-07 13:10:00,-0.33,0.23,0.47,-0.19,0.28,19.83,26,4.29,125.7
2022-06-07 13:15:00,-0.35,0.23,0.15,0.38,0.53,19.11,27,4.74,18.67
2022-06-07 13:20:00,-0.36,0.29,0.26,0.45,0.71,18.8,28,4.94,26.7
2022-06-07 13:25:00,-0.41,0.2,0.3,0.3,0.6,18.66,28,6.76,87.7
2022-06-07 13:30:00,-0.41,0.21,0.31,0.42,0.73,18.75,27,5.87,134.3
2022-06-07 13:35:00,-0.39,0.24,0.38,0.53,0.91,18.81,28,5.84,109.2
2022-06-07 13:40:00,-0.4,0.2,0.3,0.35,0.66,18.56,29,9.27,76.26
2022-06-07 13:45:00,-0.34,0.13,0.27,0.3,0.57,18.52,29,6.55,64.7
2022-06-07 13:50:00,-0.11,0.21,0.21,0.27,0.48,18.96,29,9.31,55.99
2022-06-07 13:55:00,0.08,0.21,0.38,0.5,0.87,19.7,27,7.81,75.91
2022-06-07 14:00:00,-0.37,0.15,0.3,0.49,0.78,19.95,26,9.59,64.63
2022-06-07 14:05:00,0.21,0.25,0.11,0.37,0.48,19.35,27,6.44,100.5
2022-06-07 14:10:00,0.12,0.23,0.26,0.74,1,18.98,27,8.14,89.7
2022-06-07 14:15:00,1.48,0.08,0.51,1.29,1.8,18.61,28,7.38,79.76
2022-06-07 14:20:00,0.6,0.21,0.73,1.39,2.12,18.43,29,5.9,95.3
2022-06-07 14:25:00,0.6,0.17,0.52,0.85,1.37,18.65,27,4.13,185.8
2022-06-07 14:30:00,0.56,0.25,0.2,1.62,1.81,18.69,27,4.45,209.9
2022-06-07 14:35:00,0.17,0.23,0.07,1.08,1.15,18.71,26,3.14,227.2
2022-06-07 14:40:00,0.82,0.15,0.19,1.06,1.25,18.8,27,4.96,143.7
2022-06-07 14:45:00,-0.44,0.12,0.15,0.85,1,18.81,28,3.64,83.5
2022-06-07 14:50:00,-0.39,0.21,0.15,0.23,0.38,18.8,27,4.76,144.8
2022-06-07 14:55:00,0.22,0.17,-0.11,0.88,0.78,18.76,26,2.75,92
2022-06-07 15:00:00,0.96,0.23,0.13,1.27,1.4,18.75,28,1.42,21.42
2022-06-07 15:05:00,1.07,0.17,0.15,1.37,1.53,19,27,1.71,304.3
2022-06-07 15:10:00,0.66,0.19,-0.15,1.48,1.33,18.76,29,1.31,248.6
2022-06-07 15:15:00,0.31,0.28,-0.02,1.02,1,18.49,32,1.52,142.5
2022-06-07 15:20:00,-0.3,0.19,0.01,0.77,0.78,18.6,32,2.83,227.1
2022-06-07 15:25:00,-0.34,0.18,0.26,1.37,1.62,18.55,34,4.21,233.8
2022-06-07 15:30:00,-0.26,0.23,0.44,1.21,1.65,18.53,29,3.01,223.1
2022-06-07 15:35:00,-0.17,0.25,-0.16,0.43,0.27,19.4,27,4.55,247.4
2022-06-07 15:40:00,-0.4,0.23,-0.41,0.54,0.13,20.32,24,4.75,198.3
2022-06-07 15:45:00,-0.56,0.28,-0.29,0.32,0.03,20.1,25,6.15,118.2
2022-06-07 15:50:00,-0.58,0.23,-0.05,0.14,0.09,19.49,26,5.85,137.5
2022-06-07 15:55:00,-0.75,0.25,0.12,0.42,0.54,19.13,25,4.08,138.1
2022-06-07 16:00:00,-0.59,0.26,0.12,0.54,0.66,19.13,27,3.01,184
2022-06-07 16:05:00,-0.64,0.22,-0.01,0.25,0.24,19.47,27,3.33,157.2
2022-06-07 16:10:00,-0.53,0.17,-0.04,0.05,0.01,19.86,26,2.41,138.8
2022-06-07 16:15:00,-0.41,0.29,0.08,0.15,0.23,20.16,25,4.12,138.8
2022-06-07 16:20:00,-0.41,0.24,0.03,0.22,0.25,19.53,26,4.85,130.3
2022-06-07 16:25:00,-0.6,0.22,0.09,0.32,0.41,19.43,26,6.18,124.9
2022-06-07 16:30:00,-0.48,0.19,0.28,0.18,0.46,19.24,27,5.07,117.7
2022-06-07 16:35:00,-0.58,0.16,0.18,0.29,0.47,19.08,27,4.45,135.5
2022-06-07 16:40:00,-0.62,0.22,0.1,0.51,0.6,19,28,3.68,161
2022-06-07 16:45:00,-0.54,0.25,0.03,0.24,0.27,19,30,3.23,138.4
2022-06-07 16:50:00,-0.62,0.23,-0.17,0.36,0.2,18.94,29,3.53,146.1
2022-06-07 16:55:00,-0.55,0.18,-0.28,0.41,0.12,18.88,30,3.27,128.8
2022-06-07 17:00:00,-0.5,0.2,-0.17,0.3,0.13,19.03,30,3.25,156.9
2022-06-07 17:05:00,-0.65,0.16,-0.07,0.3,0.23,19.1,30,1.79,150.8
2022-06-07 17:10:00,-0.51,0.23,0.02,0.23,0.25,19.1,31,2.45,166.8
2022-06-07 17:15:00,-0.63,0.31,0.01,0.31,0.32,19.1,31,3.74,136.8
